stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10092,5157,Axpe,,43.1159,-2.59848,5,,0,
10093,4506,Zubia,,43.3605,-2.49934,5,,0,
10094,3565,Zubialdea El Boquete,,43.244,-2.90378,2,,0,
10095,4771,Santelices,,43.3156,-3.12075,3,,0,
10096,4040,Gatika,,43.3627,-2.87433,3,,0,
10098,4677,Larrauri,,43.3673,-2.81051,3,,0,
10099,5208,Las Pedrajas,,43.204,-3.15976,3,,0,
10100,3901,Gipuzkoa Etorbidea 16 San Antonio,,43.1837,-2.49921,5,,0,
10101,5239,Mendieta Biribilgunea / Rotonda,,43.2119,-2.88326,2,,0,
10102,5530,La Cuesta Udaletxea / Ayuntamiento,,43.3459,-3.08843,3,,0,
10103,5439,Galbarriatu,,43.2819,-2.89778,2,,0,
10104,3611,Etxebizker Mikel Deuna,,43.4161,-2.75098,4,,0,
10105,5535,Zubiate,,43.3088,-2.64443,5,,0,
10106,3379,Saratxo Bidegurutzea / Cruce,,43.0301,-3.00678,4,,0,
10107,1042,Luis Briñas Termibus,,43.2609,-2.9489,1,,0,
10108,3551,Gernika 53 San Migel,,43.2185,-2.88692,2,,0,
10109,3168,San Antonio Elguezabal,,43.1985,-2.70407,3,,0,
10110,4875,Ramón Y Cajal Gasolindegia / Gasolinera,,43.3156,-3.02147,2,,0,
10111,4737,Zetokiz,,43.2937,-2.57156,5,,0,
10112,5555,Arriagane Industrialdea,,43.2279,-2.74964,3,,0,
10113,3873,L. Leguizamon Industrialdea Biribilgunea / Rotonda,,43.2512,-2.89132,2,,0,
10114,3909,Zubiaurre,,43.1911,-2.50163,5,,0,
10116,4129,Portua / Puerto,,43.4081,-2.9444,3,,0,
10117,4715,Iturribaltzaga,,43.3463,-2.83931,3,,0,
10118,3189,Boroa Ordainlekua / Peaje,,43.231,-2.75195,3,,0,
10119,4176,Algortako Etorb. 32 San Ignacio,,43.3435,-3.00808,2,,0,
10120,4071,Molinar Plaza,,43.1798,-3.07321,3,,0,
10121,4931,Funikularra Geltokia / Estación,,43.3015,-3.04172,2,,0,
10122,3754,Plaza Auzoa,,43.0988,-2.74963,4,,0,
10123,4530,Goitondogoikoa,,43.1985,-2.52892,5,,0,
10124,3132,Udaletxea / Ayuntamiento,,43.3214,-3.07314,3,,0,
10125,9008,Bolibar,,43.2497,-2.54922,5,,0,
10126,4492,Lastarri,,43.4021,-2.90753,3,,0,
10127,9036,Garibai,,43.0648,-2.48981,5,,0,
10128,3749,Zubizabal,,43.0514,-2.69783,4,,0,
10129,5505,Lasao,,43.2454,-2.9869,2,,0,
10130,5249,Tabernabarri,,43.3045,-2.88332,2,,0,
10131,5127,Brioketenes,,43.3698,-2.94225,3,,0,
10132,4672,Bolatoki,,43.3349,-2.86573,3,,0,
10133,4034,Garai,,43.3579,-2.88141,3,,0,
10134,3308,Bentalde,,43.4292,-2.80529,4,,0,
10135,3544,Artunduaga Kiroldegia / Polideportivo,,43.2332,-2.88165,2,,0,
10136,4732,Zetokiz,,43.2937,-2.57181,5,,0,
10137,3288,Txako,,43.185,-2.89642,3,,0,
10138,4678,Larrauri,,43.3671,-2.81118,3,,0,
10139,5351,Mezo 77 - 79 Bistalai,,43.315,-2.96993,2,,0,
10140,4981,El Calero,,43.3463,-3.0699,3,,0,
10141,4217,Bidezabal Metro,,43.3569,-3.01242,2,,0,
10142,4794,Zelaieta,,43.0439,-2.66217,5,,0,
10143,4089,Zaldu Pilotalekua / Frontón,,43.1767,-3.03187,3,,0,
10144,4701,Karmelo Etxegarai,,43.363,-2.85236,3,,0,
10145,4254,Lazkao Kilómetro 11,,43.2292,-3.01546,3,,0,
10146,3341,Resurrección María Azkue 34 La Ronda,,43.29,-2.99556,2,,0,
10148,4438,Artazagane Farmazia,,43.3325,-2.98937,2,,0,
10149,5033,Iberia,,43.3112,-3.00379,2,,0,
10150,3578,Axgane,,43.3588,-2.99839,2,,0,
10151,3184,Katia,,43.2374,-2.72399,3,,0,
10152,4329,Zatika Tres Cruces,,43.3612,-2.52135,5,,0,
10153,3407,Luiando Magaratxi,,43.0668,-2.99737,4,,0,
10154,4918,Ugarte El Juncal,,43.2914,-3.01477,2,,0,
10155,4887,Bizkaia Zubia / Puente Bizkaia,,43.3235,-3.0193,2,,0,
10156,4717,La Bilbaina Atxabaso,,43.3216,-2.85499,3,,0,
10157,4012,Ibarra,,43.3309,-2.80096,3,,0,
10159,4607,Usila Zubia / Puente Usila,,43.1841,-2.90025,3,,0,
10160,5017,Geltokia / Estación,,43.312,-3.06085,2,,0,
10161,5165,Elexalde,,43.2087,-2.80256,3,,0,
10162,3486,Cirilo Sagastagoitia,,43.2861,-2.98257,2,,0,
10163,4706,Ereñotzaga,,43.3816,-2.80167,3,,0,
10164,3529,Ansio,,43.2892,-2.98607,2,,0,
10165,4095,San José Zahar - Egoitza / Asilo,,43.1852,-3.06015,3,,0,
10166,0470,Zorrotza - Kastrexana 81 Flex,,43.2722,-2.97415,1,,0,
10167,4871,Begiratokia / Mirador,,43.3182,-3.01576,2,,0,
10168,1002,Egirleta / Santo Domingo,,43.2691,-2.90566,1,,0,
10170,5247,Hilerria / Cementerio,,43.2928,-2.89335,2,,0,
10171,9006,Megapark,,43.2937,-3.004,2,,0,
10172,3382,Udaletxea / Ayuntamiento,,43.0513,-3.00209,4,,0,
10173,5290,Faoeta,,43.2951,-2.95362,2,,0,
10174,3788,Telleritxu,,43.1583,-2.88167,3,,0,
10175,5008,Catalina Gibaja 23,,43.3106,-3.05653,2,,0,
10176,5188,Goierri,,43.1768,-2.53621,5,,0,
10177,4949,Elexalde,,43.2736,-2.83277,2,,0,
10178,4572,Ororoaga,,43.2935,-2.63419,5,,0,
10179,4924,Trapaga Auzoa,,43.2994,-3.01874,2,,0,
10180,3833,Landako,,43.1718,-2.63242,4,,0,
10181,0905,Maurice Ravel Panera,,43.2655,-2.91668,1,,0,
10182,4029,Sertutxa,,43.3594,-2.86819,3,,0,
10183,4238,Gallarraga Farmazia,,43.2017,-3.04869,3,,0,
10184,3290,Aguirre Martiartu Industrialdea,,43.1946,-2.89932,2,,0,
10185,4733,Astudi,,43.2902,-2.58121,5,,0,
10186,4293,Elejalde 7,,43.3897,-2.63144,5,,0,
10187,4493,Andraka,,43.3976,-2.90732,3,,0,
10188,3489,Zuloko,,43.292,-3.00277,2,,0,
10189,4578,Ibartxu,,43.281,-2.63044,5,,0,
10190,4592,Pulealde,,43.3475,-2.80316,3,,0,
10191,5118,Aita Gotzon Metro Urduliz,,43.3782,-2.95696,3,,0,
10192,4797,Mekoleta,,43.0453,-2.66939,5,,0,
10193,4637,Kurtzero Geltokia / Estación,,43.2882,-2.68946,4,,0,
10194,4613,Elosu,,43.1719,-2.89952,3,,0,
10195,3368,Resurrección María Azkue Bec,,43.2906,-2.991,2,,0,
10196,5523,Portua / Puerto,,43.3502,-3.08209,3,,0,
10197,3805,Ziarrusta,,43.1526,-2.76979,3,,0,
10198,4714,La Bilbaina Atxabaso,,43.3217,-2.85486,3,,0,
10199,3212,Susaeta,,43.2723,-2.59666,5,,0,
10200,4014,Etxezuri,,43.3177,-2.81531,3,,0,
10201,3329,Lutxana Geltokia / Estación,,43.2885,-2.97553,2,,0,
10202,5549,Arana Seat,,43.2955,-2.68662,4,,0,
10203,3174,Gumuzio,,43.2307,-2.76667,3,,0,
10204,4182,Algortako Etorb. 31 San Ignacio,,43.3437,-3.00842,2,,0,
10205,5430,Larragoiti,,43.281,-2.856,2,,0,
10206,4920,Babcock,,43.299,-3.01363,2,,0,
10207,4013,Ibarra,,43.3309,-2.80081,3,,0,
10208,3531,Argenta,,43.2862,-2.98003,2,,0,
10209,5443,Bidekurtze,,43.296,-2.8654,2,,0,
10210,3211,Urebei,,43.2745,-2.59366,5,,0,
10211,3857,Longa,,43.381,-2.60598,5,,0,
10212,4323,Elejalde,,43.3622,-2.54552,5,,0,
10213,4989,Iparragirre Iberdrola,,43.3402,-3.05251,2,,0,
10214,3816,Makaztui,,43.094,-2.71645,3,,0,
10215,3276,Goiri,,43.3418,-2.77504,3,,0,
10216,5501,Nuestra Señora De La Guía,,43.2356,-3.01215,2,,0,
10217,4957,Murrieta 13 Batzokia,,43.3272,-3.0279,2,,0,
10218,4083,Ugarte,,43.1923,-3.04549,3,,0,
10219,4857,Plentzia Biribilgunea / Rotonda,,43.4053,-2.94909,3,,0,
10220,1059,Deustuko Unibertsitatea Lehendakari Aguirre 2,,43.2716,-2.94281,1,,0,
10221,3128,Las Carreras Ambrosio De Los Heros 39,,43.319,-3.09789,3,,0,
10222,4796,Mekoleta,,43.0453,-2.67211,5,,0,
10223,3447,Areta Geltokia / Estación,,43.146,-2.94295,4,,0,
10224,5349,Mezo 48 Saliturri,,43.3151,-2.97322,2,,0,
10225,5086,Mercadillo Udaletxea / Ayuntamiento,,43.262,-3.15449,3,,0,
10226,5423,Izarza Eliza / Iglesia,,43.2973,-2.92582,2,,0,
10227,3037,Untzaga Hotel Arrate - Egogain Kalea,,43.1839,-2.47507,5,,0,
10228,4325,Zatika Tres Cruces,,43.361,-2.52124,5,,0,
10229,3525,San Bartolomé 1,,43.2951,-3.00129,2,,0,
10230,4851,Hegoalde,,43.106,-2.90888,4,,0,
